역사명,노선명,역위도,역경도,역사도로명주소
4.19민주묘지,우이신설선,37.64954,127.01371,서울특별시 강북구 삼양로 519
가락시장,3호선,37.492318,127.1177,서울특별시 송파구 송파대로 지하257(가락동)
가락시장,8호선,37.493004,127.118279,서울특별시 송파구 송파대로 지하257(가락동)
가산디지털단지역,경부선,37.481568,126.882628,서울시 금천구 벚꽃로 309
가산디지털단지,7호선,37.480376,126.882704,서울특별시 금천구 벚꽃로 309(가산동)
가양,서울 도시철도 9호선,37.561111,126.855078,서울특별시 강서구 양천로 지하485
가오리,우이신설선,37.64162,127.01681,서울특별시 강북구 삼양로 426
가좌역,경의중앙선,37.568611,126.914841,서울시 서대문구 수색로 27(남가좌동)
강남,2호선,37.49805,127.02795,서울특별시 강남구 강남대로 지하396(역삼동)
강남,신분당선,37.49738544,127.0278789,서울특별시 강남구 강남대로 지하 396
강남구청,7호선,37.517185,127.04122,서울특별시 강남구 학동로 지하346(삼성동)
강남구청역,분당선,37.516572,127.041575,서울시 강남구 학동로 지하 364
강동,5호선,37.53581,127.13249,서울특별시 강동구 천호대로 지하1097(천호동)
강동구청,8호선,37.530348,127.120461,서울특별시 강동구 올림픽로 지하550(성내동)
강변(동서울터미널),2호선,37.535161,127.094684,서울특별시 광진구 강변역로 53(구의동)
강일,5호선,37.557521,127.176018,서울특별시 강동구 고덕로 지하456(강일동)
개롱,5호선,37.498097,127.134817,서울특별시 송파구 오금로 지하402(가락동)
개봉역,경인선,37.494698,126.858504,서울시 구로구 경인로 40길 47
개포동역,분당선,37.489112,127.066027,서울시 강남구 개포동 지하 420(개포동)
개화,서울 도시철도 9호선,37.578591,126.797833,서울특별시 강서구 개화동로8길 19
개화산,5호선,37.572458,126.806838,서울특별시 강서구 양천로 22(방화동)
거여,5호선,37.493208,127.143983,서울특별시 송파구 오금로 지하499(거여동)
건대입구,2호선,37.540408,127.069231,서울특별시 광진구 아차산로 243(화양동)
건대입구,7호선,37.540882,127.071103,서울특별시 광진구 능동로 지하110(화양동)
경복궁(정부서울청사),3호선,37.575844,126.973576,서울특별시 종로구 사직로 지하130(적선동)
경찰병원,3호선,37.495754,127.124198,서울특별시 송파구 중대로 지하149(가락동)
고덕,5호선,37.555002,127.154214,서울특별시 강동구 고덕로 지하253(고덕동)
고려대(종암),6호선,37.59034,127.03626,서울특별시 성북구 종암로 지하1(종암동)
고속터미널,3호선,37.504953,127.004916,서울특별시 서초구 신반포로 지하188(반포동)
고속터미널,7호선,37.503387,127.005055,서울특별시 서초구 신반포로 지하188(반포동)
고속터미널,서울 도시철도 9호선,37.505933,127.004044,서울특별시 서초구 신반포로 지하188
공덕,5호선,37.544005,126.951058,서울특별시 마포구 마포대로 지하100(공덕동)
공덕,6호선,37.543592,126.951664,서울특별시 마포구 백범로 지하200(공덕동)
공덕,인천국제공항선,37.5427105,126.9516296,서울특별시 마포구 마포대로 92
공덕역,경의중앙선,37.542711,126.952134,서울시 마포구 공덕동 마포대로 92
공릉(서울과학기술대),7호선,37.625642,127.072969,서울특별시 노원구 동일로 지하1074(공릉동)
공항시장,서울 도시철도 9호선,37.563726,126.810678,서울특별시 강서구 방화동로 지하30
관악산,수도권 경량도시철도 신림선,37.46916896,126.944954837,서울특별시 관악구 신림로 23 (신림동)
광나루(장신대),5호선,37.545301,127.103478,서울특별시 광진구 아차산로 지하571(광장동)
광운대역,경원선,37.62357,127.06181,서울시 노원구 석계로 98-2(광운대역)
광운대역,경의중앙선,37.6239,127.062,서울시 노원구 석계로 98-2(광운대역)
광운대역,경춘선,37.623635,127.061975,서울시 노원구 석계로 98-2(광운대역)
광화문(세종문화회관),5호선,37.571645,126.976568,서울특별시 종로구 세종대로 지하172(세종로)
광흥창(서강),6호선,37.547464,126.931971,서울특별시 마포구 독막로 지하165(창전동)
교대(법원·검찰청),2호선,37.493957,127.014431,서울특별시 서초구 서초대로 지하294(서초동)
교대(법원·검찰청),3호선,37.49306,127.013796,서울특별시 서초구 서초대로 지하294(서초동)
구로역,경부선,37.503178,126.882037,서울시 구로구 구로중앙로 174
구로디지털단지,2호선,37.4852931,126.901456,서울특별시 구로구 도림천로 477(구로동)
구룡역,분당선,37.486985,127.059496,서울시 강남구 개포동 175-3
구반포,서울 도시철도 9호선,37.501389,126.987222,서울특별시 서초구 신반포로 지하17
구산,6호선,37.611196,126.9172519,서울특별시 은평구 연서로 지하137-1(구산동)
구의(광진구청),2호선,37.537157,127.0862124,서울특별시 광진구 아차산로 384-1(구의동)
구일역,경인선,37.495973,126.869201,서울시 구로구 구일로 133
구파발,3호선,37.636612,126.918827,서울특별시 은평구 진관2로 지하15-25 (진관동)
국회의사당,서울 도시철도 9호선,37.528105,126.917874,서울특별시 영등포구 국회대로 지하758
군자(능동),5호선,37.557102,127.079559,서울특별시 광진구 천호대로 지하550(능동)
군자(능동),7호선,37.557151,127.079484,서울특별시 광진구 천호대로 지하550(능동)
굽은다리(강동구민회관앞),5호선,37.545442,127.142844,서울특별시 강동구 양재대로 지하1572(명일동)
금천구청역,경부선,37.45576,126.894344,서울시 금천구 시흥대로 63길 91
금호,3호선,37.548269,127.015785,서울특별시 성동구 동호로 지하104(금호동4가)
길동,5호선,37.538022,127.140085,서울특별시 강동구 양재대로 지하1480(길동)
길음,4호선,37.603387,127.025053,서울특별시 성북구 동소문로 지하248(길음동)
김포공항,5호선,37.56217,126.801273,서울특별시 강서구 하늘길 지하77(방화동)
김포공항,서울 도시철도 9호선,37.562056,126.801633,서울특별시 강서구 하늘길 지하77
김포공항,인천국제공항선,37.56211652,126.8015442,서울특별시 강서구 하늘길 77
김포공항역,김포도시철도,37.562309,126.801833,서울특별시 강서구 하늘길 지하 77
김포공항역,서해선,37.5621179,126.804056,서울특별시 강서구 하늘길 지하 77
까치산,5호선,37.5322,126.84645,서울특별시 강서구 강서로 지하54(화곡동)
낙성대(강감찬),2호선,37.47713,126.963583,서울특별시 관악구 남부순환로 지하1928(봉천동)
남구로,7호선,37.486181,126.887372,서울특별시 구로구 도림로 지하7(구로동) 
남부터미널(예술의전당),3호선,37.48494,127.016289,서울특별시 서초구 서초중앙로 지하31(서초동)
남성,7호선,37.484688,126.971108,서울특별시 동작구 사당로 지하218(사당동)
남영역,경부선,37.540597,126.971171,서울시 용산구 한강대로 77길 25(갈월동)
남태령,4호선,37.464339,126.989081,서울특별시 서초구 과천대로 지하816(방배동)
내방,7호선,37.48764,126.993541,서울특별시 서초구 서초대로 지하103(방배동)
노들,서울 도시철도 9호선,37.512726,126.953096,서울특별시 동작구 노량진로 지하238 (본동)
노량진역,경부선,37.514072,126.941671,서울시 동작구 노량진로 151
노량진,서울 도시철도 9호선,37.513667,126.940917,서울특별시 동작구 노량진로 지하130
노원,4호선,37.656274,127.063183,서울특별시 노원구 상계로 69-1(상계동)
노원,7호선,37.654478,127.060555,서울특별시 노원구 동일로 지하1409(상계동)
녹번,3호선,37.600882,126.935758,서울특별시 은평구 통일로 지하602-1(녹번동)
녹사평(용산구청),6호선,37.53469,126.98665,서울특별시 용산구 녹사평대로 지하195(용산동4가)
녹천역,경원선,37.644599,127.051406,서울시 도봉구 덕릉로 376(창동)
논현,7호선,37.511108,127.021385,서울특별시 강남구 학동로 지하102(논현동)
논현,신분당선,37.5108115,127.0213658,서울특별시 강남구 강남대로 492-2
답십리,5호선,37.566833,127.05266,서울특별시 성동구 천호대로 지하300(용답동)
당곡,수도권 경량도시철도 신림선,37.490039105,126.927568759,서울특별시 관악구 보라매로 6 (봉천동)
당산,2호선,37.534807,126.902611,서울특별시 영등포구 당산로 229(당산동6가)
당산,서울 도시철도 9호선,37.533844,126.902222,서울특별시 영등포구 양평로 지하40
대림(구로구청),2호선,37.4932826,126.8949793,서울특별시 구로구 도림천로 351(구로동)
대림(구로구청),7호선,37.492984,126.896997,서울특별시 영등포구 도림로 지하137(대림동)
대모산입구역,분당선,37.491347,127.072702,서울특별시 강남구 개포로 522
대방역,경부선,37.513392,126.926407,서울시 영등포구 여의대방로 300
대방,수도권 경량도시철도 신림선,37.512840166,126.925316781,서울특별시 영등포구 여의대방로 300 (신길동)
대청,3호선,37.493607,127.079526,서울특별시 강남구 일원로 지하2(일원동)
대치,3호선,37.494601,127.063449,서울특별시 강남구 남부순환로 지하2952(대치동)
대흥(서강대앞),6호선,37.547732,126.942214,서울특별시 마포구 대흥로 지하85(대흥동)
도곡,3호선,37.491129,127.055694,서울특별시 강남구 남부순환로 지하2814(도곡동)
도곡역,분당선,37.490914,127.055393,서울시 강남구 남부순환로 지하 2814
도림천,2호선,37.5145589,126.882586,서울특별시 구로구 경인로67길 160(신도림동)
도봉역,경원선,37.679441,127.045521,서울시 도봉구 도봉로 170길 2
도봉산역,경원선,37.689603,127.046047,서울시 도봉구 도봉로 964-33
도봉산,7호선,37.689131,127.046548,서울특별시 도봉구 도봉로 964-40(도봉동)
독립문,3호선,37.574534,126.957902,서울특별시 서대문구 통일로 지하247(현저동)
독바위,6호선,37.618413,126.933035,서울특별시 은평구 불광로 지하129-1(불광동)
독산역,경부선,37.465994,126.889508,서울시 금천구 벚꽃로 115
돌곶이,6호선,37.610522,127.056419,서울특별시 성북구 화랑로 지하243(석관동)
동대문,1호선,37.571646,127.01069,서울특별시 종로구 종로 지하302(창신동)
동대문,4호선,37.57099,127.00925,서울특별시 종로구 율곡로 지하308(종로6가)
동대문역사문화공원(DDP),2호선,37.565609,127.009083,서울특별시 중구 을지로 지하279(을지로7가)
동대문역사문화공원(DDP),4호선,37.565141,127.007808,서울특별시 중구 장충단로 지하230(광희동2가)
동대문역사문화공원(DDP),5호선,37.564682,127.00533,서울특별시 중구 마른내로 지하162(광희동1가)
동대입구,3호선,37.55906,127.005273,서울특별시 중구 동호로 지하256(장충동2가)
동묘앞,1호선,37.573265,127.016459,서울특별시 종로구 종로 359(숭인동)
동묘앞,6호선,37.572275,127.015666,서울특별시 종로구 지봉로 지하24(숭인동)
동작(현충원),4호선,37.503567,126.980171,서울특별시 동작구 현충로 257(동작동)
동작(현충원),서울 도시철도 9호선,37.502878,126.978278,서울특별시 동작구 현충로 지하220 (동작동)
둔촌동,5호선,37.527787,127.136219,서울특별시 강동구 양재대로 지하1369(둔촌동)
둔촌오륜,수도권  도시철도 9호선,37.519339,127.138619,서울특별시 강동구 강동대로 지하 327
등촌,서울 도시철도 9호선,37.551111,126.864722,서울특별시 강서구 공항대로 지하529
디지털미디어시티,6호선,37.5760805,126.901343,서울특별시 은평구 수색로 지하175(증산동)
디지털미디어시티,인천국제공항선,37.577355,126.898025,서울특별시 마포구 성암로 184
디지털미디어시티역,경의중앙선,37.577964,126.900421,서울시 은평구 수색로 193(수색동 37-2)
뚝섬,2호선,37.54718,127.047413,서울특별시 성동구 아차산로 18(성수동1가)
마곡,5호선,37.55865,126.837693,서울특별시 강서구 공항대로 지하163(마곡동)
마곡나루(서울식물원),서울 도시철도 9호선,37.566717,126.8276071,서울특별시 강서구 마곡중앙5로 지하2
마곡나루,인천국제공항선,37.56581914,126.8276358,서울특별시 강서구 마곡중앙로 지하 135
마들,7호선,37.664985,127.057701,서울특별시 노원구 동일로 지하1530-1(상계동)
마장,5호선,37.566066,127.042921,서울특별시 성동구 마장로 지하296(마장동)
마천,5호선,37.494972,127.152784,서울특별시 송파구 마천로57길 지하7(마천동)
마포,5호선,37.539718,126.946043,서울특별시 마포구 마포대로 지하33(도화동)
마포구청,6호선,37.563529,126.903356,서울특별시 마포구 월드컵로 지하190(성산동)
망우역,경춘선,37.599988,127.092031,서울시 중랑구 망우로 55길 11-10
망우역,경의중앙선,37.599288,127.092318,서울시 중랑구 망우로 55길 11-10
망원,6호선,37.556031,126.910129,서울특별시 마포구 월드컵로 지하77(망원동)
매봉,3호선,37.487114,127.046907,서울특별시 강남구 남부순환로 지하2744(도곡동)
먹골,7호선,37.610638,127.077719,서울특별시 중랑구 동일로 지하901(묵동)
면목,7호선,37.588671,127.087503,서울특별시 중랑구 면목로 지하407(면목동) 
명동,4호선,37.560955,126.986271,서울특별시 중구 퇴계로 지하126(충무로2가)
명일,5호선,37.551317,127.144002,서울특별시 강동구 양재대로 지하1632(명일동)
목동,5호선,37.526088,126.864296,서울특별시 양천구 오목로 지하245(목동)
몽촌토성(평화의문),8호선,37.517692,127.11274,서울특별시 송파구 올림픽로 지하383(신천동)
무악재,3호선,37.582658,126.950131,서울특별시 서대문구 통일로 지하361(홍제동)
문래,2호선,37.517993,126.894766,서울특별시 영등포구 당산로 지하28(문래동3가)
문정,8호선,37.485931,127.122473,서울특별시 송파구 송파대로 지하179(문정동)
미아(서울사이버대학),4호선,37.626435,127.026151,서울특별시 강북구 도봉로 지하198(미아동)
미아사거리,4호선,37.613276,127.030083,서울특별시 강북구 도봉로 지하50(미아동)
반포,7호선,37.508171,127.011717,서울특별시 서초구 신반포로 지하241(잠원동)
발산,5호선,37.558692,126.837633,서울특별시 강서구 공항대로 지하267(마곡동)
방배,2호선,37.481469,126.997627,서울특별시 서초구 방배로 지하80(방배동)
방이,5호선,37.508752,127.126054,서울특별시 송파구 양재대로 지하1127(방이동)
방학역,경원선,37.667471,127.044295,서울시 도봉구 도봉로 150다길 3
방화,5호선,37.577669,126.812822,서울특별시 강서구 금낭화로 지하132(방화동)
버티고개,6호선,37.547933,127.006948,서울특별시 중구 다산로 지하38(신당동)
보라매,7호선,37.499916,126.920112,서울특별시 동작구 상도로 지하2(대방동)
보라매,수도권 경량도시철도 신림선,37.500312709,126.920485864,서울특별시 동작구 상도로 지하2 (대방동)
보라매공원,수도권 경량도시철도 신림선,37.495225405,126.918258811,서울특별시 동작구 여의대방로20길 지하11 (신대방동)
보라매병원,수도권 경량도시철도 신림선,37.4929607,126.923886,서울특별시 동작구 보라매로5길 지하24 (신대방동)
보문,6호선,37.585426,127.019722,서울특별시 성북구 보문로 지하116(보문동1가)
보문,우이신설선,37.58551,127.01939,서울특별시 성북구 보문동1가 127-6
복정,8호선,37.471016,127.126746,서울특별시 송파구 송파대로 지하6(장지동)
복정역,분당선,37.469753,127.126627,서울특별시 송파구 송파대로 6
봉은사,수도권  도시철도 9호선,37.514219,127.060245,서울특별시 강남구 봉은사로 601
봉천,2호선,37.482416,126.941696,서울특별시 관악구 남부순환로 지하1721(봉천동)
봉화산(서울의료원),6호선,37.617429,127.0912326,서울특별시 중랑구 신내로 지하232(신내동)
북한산보국문,우이신설선,37.61233,127.00816,서울특별시 성북구 보국문로 지하 88
북한산우이,우이신설선,37.66284,127.01272,서울특별시 강북구 삼양로 지하 676
불광,3호선,37.610154,126.930183,서울특별시 은평구 통일로 지하723-1(대조동)
불광,6호선,37.610919,126.929504,서울특별시 은평구 통일로 지하723-1(대조동)
불암산,4호선,37.67009,127.079004,서울특별시 노원구 상계로 305(상계동)
사가정,7호선,37.580912,127.088502,서울특별시 중랑구 사가정로 지하393(면목동)
사당,2호선,37.476536,126.981631,서울특별시 동작구 남부순환로 지하2089(사당동)
사당,4호선,37.476263,126.981636,서울특별시 동작구  동작대로 지하3(사당동)
사평,서울 도시철도 9호선,37.504161,127.015219,서울특별시 서초구 사평대로 지하285
삼각지(전쟁기념관),4호선,37.534457,126.972992,서울특별시 용산구 한강대로 지하180(한강로1가)
삼각지(전쟁기념관),6호선,37.535563,126.973996,서울특별시 용산구 한강대로 지하185(한강로1가)
삼성(무역센터),2호선,37.508827,127.063203,서울특별시 강남구 테헤란로 지하538(삼성동)
삼성중앙,수도권  도시철도 9호선,37.513011,127.053282,서울특별시 강남구 봉은사로 501
삼양,우이신설선,37.62706,127.01817,서울특별시 강북구 삼양로 지하 259
삼양사거리,우이신설선,37.62144,127.02049,서울특별시 강북구 삼양로 197
삼전,수도권  도시철도 9호선,37.504531,127.087211,서울특별시 송파구 백제고분로 지하 187
상계,4호선,37.660576,127.073199,서울특별시 노원구 상계로 182(상계동)
상도,7호선,37.50279,126.947949,서울특별시 동작구 상도로 지하272(상도1동)
상봉역,경의중앙선,37.596754,127.085553,서울시 중랑구 망우로 297(상봉1동 100-9번지)
상봉,7호선,37.595673,127.085708,서울특별시 중랑구 망우로 297(상봉동)
상봉역,경춘선,37.595254,127.085853,서울시 중랑구 망우로 297(상봉1동 100-9번지)
상수,6호선,37.547704,126.92292,서울특별시 마포구 독막로 지하85(상수동)
상왕십리,2호선,37.564444,127.029322,서울특별시 성동구 왕십리로 지하374(하왕십리동)
상월곡(한국과학기술연구원),6호선,37.606392,127.048509,서울특별시 성북구 화랑로 지하157(상월곡동)
상일동,5호선,37.556714,127.166381,서울특별시 강동구 고덕로 지하359(상일동)
새절(신사),6호선,37.591148,126.913613,서울특별시 은평구 증산로 지하400(신사동)
샛강,서울 도시철도 9호선,37.5173,126.9284,서울특별시 영등포구 의사당대로 지하166
샛강,수도권 경량도시철도 신림선,37.517219937,126.929403964,서울특별시 영등포구 의사당대로 지하166 (여의도동)
서강대역,경의중앙선,37.552132,126.935389,서울시 마포구 서강로 지하 118
서대문,5호선,37.565812,126.966639,서울특별시 종로구 통일로 지하126(평동)
서빙고역,경원선,37.51961,126.988358,서울시 용산구 서빙고로 238(서빙고동 241-11)
서울대벤처타운,수도권 경량도시철도 신림선,37.47204068,126.933976556,서울특별시 관악구 신림로 144 (신림동)
서울대입구(관악구청),2호선,37.481233,126.952745,서울특별시 관악구 남부순환로 지하1822(봉천동)
서울숲역,분당선,37.543647,127.044686,서울시 성동구 왕십리로 지하 77
서울역,1호선,37.55585,126.972103,서울특별시 중구 세종대로 지하2(남대문로 5가)
서울역,4호선,37.553172,126.972706,서울특별시 용산구 한강대로 지하392(동자동)
서울,인천국제공항선,37.55301784,126.9697643,서울특별시 용산구 청파로 378
서울역(경의선),경의중앙선,37.556713,126.971387,서울시 중구 한강대로 405
